"番号","地区","品目","形式","材質","可燃ごみ","不燃ごみ","有害ごみ","プラスチック資源","資源","粗大ごみ","小型家電回収ボックス","集積所不可(直接搬入のみ可)","市では処理できないごみ","処理できない形式・材質","備考"
"627","朝霞市","玄関マット","","布製","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"628","朝霞市","玄関マット(泥落としマット)","","金属製、プラスチック製","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"629","朝霞市","健康器具","","","","○","○","","","◎","","","","充電池内蔵式は有害ごみ","50cm未満のものは不燃ごみ。"
"630","朝霞市","原稿用紙","","","","","","","◎","","","","","",""
"631","朝霞市","剣山","生け花用","","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"632","朝霞市","現像液","","","","","","","","","","","◎","","販売店・取扱店にお問合せください。"
"633","朝霞市","剣道着","防具を除く","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"634","朝霞市","原動機付自転車","","","","","","","","","","","◎","","バイク本体については、「二輪車リサイクルシステム」コールセンター(℡050-3000-0727)までお問い合わせください。ホームページURLはhttp://www.jarc.or.jp/motorcycleです。バイク部品については、販売店、専門の処理業者又は朝霞市の一般廃棄物処理許可業者にご相談ください。"
"635","朝霞市","剣道防具(一式)","道着を除く","","","","","","","◎","","","","",""
"636","朝霞市","剣道防具(面)","","","","◎","","","","","","","","",""
"637","朝霞市","剣道防具(胴)","","","","","","","","◎","","","","",""
"638","朝霞市","剣道防具(篭手)","","","◎","","","","","","","","","",""
"639","朝霞市","剣道防具(垂)","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"640","朝霞市","鍵盤ハーモニカ","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"641","朝霞市","顕微鏡","","","","◎","○","","","","","","","充電池内蔵式は有害ごみ",""
"642","朝霞市","碁石","","","","◎","","","","","","","","",""
"643","朝霞市","こいのぼり","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"644","朝霞市","高圧洗浄器","電動式","","","○","","","","◎","","","○","仕事で使用したものは不可
エンジン式温水式は不可","50cm未満のものは不燃ごみ。"
"645","朝霞市","工具箱","","","","◎","","","","○","","","○","仕事で使用したものは不可","50cm以上のものは粗大ごみ。"
"646","朝霞市","工具類","","","","◎","","","","○","","","○","仕事で使用したものは不可","50cm以上のものは粗大ごみ。"
"647","朝霞市","広告印刷物(チラシ)","","","","","","","◎","","","","","","新聞として出してください。"
"648","朝霞市","合成紙","","","◎","","","","","","","","","",""
"649","朝霞市","紅白帽子(体育帽子)","","","","","","","◎","","","","","",""
"650","朝霞市","紅白幕","","","","","","","","","","","◎","",""
"651","朝霞市","行李(こうり)","","籐製","○","","","","","◎","","","","","50cm未満のものは可燃ごみ。"
"652","朝霞市","コーキングガン","","","","","","","","","","","◎","",""
"653","朝霞市","コーキング剤の容器","","プラスチック製","","","","","","","","","◎","",""
"654","朝霞市","コークス(石炭)","","","","","","","","","","","◎","",""
"655","朝霞市","ゴーグル","","","","◎","","","","","","","","",""
"656","朝霞市","コースター","","布製、皮革製、木製、ゴム製","◎","","","","","","","","","",""
"657","朝霞市","コースター","","プラスチック製、金属製","","◎","","","","","","","","",""
"658","朝霞市","コート(オーバー)","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"659","朝霞市","コートハンガー","","","","","","","","◎","","","","",""
"660","朝霞市","コードリール(ドラムコード)","","","","","","","","","","","◎","",""
"661","朝霞市","コードレスクリーナー","","","","○","○","","","◎","","","","充電池内蔵式は有害ごみ","50cm未満のものは不燃ごみ。"
"662","朝霞市","コーナーラック","家具","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"663","朝霞市","コーヒードリッパー","","","","◎","","","","","","","","",""
"664","朝霞市","コーヒー豆(コーヒー殻)","","","◎","","","","","","","","","","水気を切って出してください。"
"665","朝霞市","コーヒー豆用フィルター","","","◎","","","","","","","","","",""
"666","朝霞市","コーヒーメーカー","","","","◎","","","","","","","","",""
"667","朝霞市","氷保管用容器(アイスペール)","","","","◎","","","","","","","","",""
"668","朝霞市","氷枕","","","◎","","","","","","","","","","50cm未満に切ってください。金具は不燃ごみ。"
"669","朝霞市","五月人形","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"670","朝霞市","黒板","","","","◎","","","","○","","","○","仕事で使用したものは不可","50cm以上のものは粗大ごみ。"
"671","朝霞市","黒板消し","","","","◎","","","","","","","○","仕事で使用したものは不可",""
"672","朝霞市","黒板消しクリーナー","","","","◎","","","","","","","○","仕事で使用したものは不可",""
"673","朝霞市","碁笥","","","◎","","","","","","","","","",""
"674","朝霞市","固形燃料","調理用、アウトドア用","","","","","","","","","◎","","","本来の用途で使い切ってください。どうしても使い切れない場合はクリーンセンターへ直接お持ちください。"
"675","朝霞市","ござ","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"676","朝霞市","個人情報保護用スタンプ","文房具","","","◎","","","","","","","","",""
"677","朝霞市","こたつ板","","","","","","","","◎","","","","",""
"678","朝霞市","こたつ掛け","","","","","","","","◎","","","","",""
"679","朝霞市","こたつ敷き","","","","","","","","◎","","","","",""
"680","朝霞市","こたつセット","","","","","","","","◎","","","","",""
"681","朝霞市","こたつ布団","","","","","","","","◎","","","","",""
"682","朝霞市","コップ","","紙製、木製","◎","","","","","","","","","",""
"683","朝霞市","コップ","","プラスチック製、金属製、陶磁器製、ガラス製","","◎","","","","","","","","",""
"684","朝霞市","コップ洗い(ブラシ)","","","","◎","","","","","","","","",""
"685","朝霞市","鏝(こて)","電気式、左官用","","","◎","","","","","","","○","仕事で使用したものは不可",""
"686","朝霞市","琴","楽器","","","","","","","◎","","","","",""
"687","朝霞市","五徳(ごとく)","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"688","朝霞市","粉ミルクの容器","缶","","","◎","","","","","","","","","油分が付着しているため、不燃ごみ。"
"689","朝霞市","碁盤","脚付き","木製","","","","","","","","","◎","",""
"690","朝霞市","碁盤","折りたたみ式","木製","","◎","","","","","","","","",""
"691","朝霞市","コピー機","家庭用","","","◎","","","","○","☆","","○","仕事で使用したものは不可","50cm以上のものは粗大ごみ。
業務用コピー機は購入先、メーカーなどへ問い合わせてください。"
"692","朝霞市","コピー用紙","","","","","","","◎","","","","","",""
"693","朝霞市","ごみ箱","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"694","朝霞市","ごみ容器","屋外用","","","","","","","◎","","","","",""
"695","朝霞市","ゴム印(スタンプ)","","木製","◎","","","","","","","","","",""
"696","朝霞市","ゴム印(スタンプ)","","プラスチック製","","◎","","","","","","","","",""
"697","朝霞市","小麦粘土","","","◎","","","","","","","","","",""
"698","朝霞市","ゴム手袋","","","◎","","","","","","","","","",""
"699","朝霞市","ゴム長靴","","","◎","","","","","○","","","","","50cm以上のものは粗大ごみ。"
"700","朝霞市","ゴム風船","","","◎","","","","","","","","","",""
"701","朝霞市","ゴムべら","調理器具","","◎","○","","","","","","","","","ゴム以外が入っている場合は不燃ごみ"
"702","朝霞市","ゴムホース","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"703","朝霞市","ゴムボート","","","","","","","","","","","◎","",""
"704","朝霞市","ゴムボール","","","◎","","","","","","","","","",""
"705","朝霞市","ゴムマット","自動車用等","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"706","朝霞市","米びつ","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"707","朝霞市","米袋","","紙製","◎","","","","","","","","","",""
"708","朝霞市","米袋","","プラスチック製","","","","◎","","","","","","",""
"709","朝霞市","コルクスクリュー(コルク抜き)","","","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"710","朝霞市","コルク栓","","","◎","","","","","","","","","",""
"711","朝霞市","コルク抜き","","","","◎","","","","","","","","",""
"712","朝霞市","コルクボード","","","◎","","","","","○","","","","","50cm以上のものは粗大ごみ。"
"713","朝霞市","コルセット","","","◎","○","","","","","","","","","金具が取り外せないものは不燃ごみ。"
"714","朝霞市","ゴルフ傘","","","","◎","","","","○","","","","",""
"715","朝霞市","ゴルフクラブ","","","","","","","","◎","","","","",""
"716","朝霞市","ゴルフクラブヘッドカバー","","","◎","","","","","","","","","",""
"717","朝霞市","ゴルフグローブ(ゴルフ手袋)","","","◎","","","","","","","","","",""
"718","朝霞市","ゴルフシューズ","","","◎","○","","","","","","","","","金具が取り外せないものは不燃ごみ。"
"719","朝霞市","ゴルフバッグ(キャディーバッグ)","","","","","","","","◎","","","","",""
"720","朝霞市","ゴルフボール","","","","◎","","","","","","","","",""
"721","朝霞市","ゴルフ練習ネット","","","","","","","","◎","","","","",""
"722","朝霞市","ゴルフ練習マット","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"723","朝霞市","コンクリート","","","","","","","","","","","◎","",""
"724","朝霞市","コンクリートパネル(コンパネ)","","","","","","","","","","","◎","",""
"725","朝霞市","コンクリートブロック","","","","","","","","","","","◎","",""
"726","朝霞市","コンセント","","","","◎","","","","","","","","",""
"727","朝霞市","コンタクトレンズ","","","◎","","","","","","","","","",""
"728","朝霞市","コンパクトミラー(手鏡)","","","","◎","","","","","","","","",""
"729","朝霞市","コンパス","文房具","","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"730","朝霞市","コンビラック(ベビーラック)","","","","","","","","◎","","","","",""
"731","朝霞市","コンプレッサー(空気圧縮機)","","","","","","","","","","","◎","",""
"732","朝霞市","コンベックスメジャー","","","","◎","","","","","","","","",""
"733","朝霞市","梱包用バンド(ＰＰバンド)","","","◎","","","","","","","","○","仕事で使用したものは不可","50cm未満に切ってください。"
"734","朝霞市","コンポ","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"735","朝霞市","コンポーザー(生ごみ処理機)","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"736","朝霞市","コンポスト(生ごみ処理容器)","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"737","朝霞市","サーキュレーター(扇風機)","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"738","朝霞市","サーフボード","","","","","","","","◎","","","","",""
"739","朝霞市","サイクリングマシーン","","","","","","","","◎","","","","",""
"740","朝霞市","サイクルポート","自転車置場","","","","","","","","","","◎","",""
"741","朝霞市","座椅子","","","","○","","","","◎","","","","","折りたたんだ状態で50cm未満のものは不燃ごみ。"
"742","朝霞市","裁断機(ペーパーカッター)","","","","◎","","","","○","","","○","仕事で使用したものは不可","50cm以上のものは粗大ごみ。"
"743","朝霞市","サイドテーブル","","","","○","","","","◎","","","","","50cm未満のもの不燃ごみ。"
"744","朝霞市","サイドボード","","","","","","","","◎","","","","",""
"745","朝霞市","菜箸(さいばし)","","木製","◎","","","","","","","","","",""
"746","朝霞市","菜箸(さいばし)","","金属製、シリコン製","","◎","","","","","","","","",""
"747","朝霞市","財布","","","◎","○","","","","","","","","","金具が取り外せないものは不燃ごみ。"
"748","朝霞市","サインペン","","","","◎","","","","","","","","",""
"749","朝霞市","サウナ(ポータブルサウナ)","","","","","","","","◎","","","○","木製のものは不可。","小型のものに限る。"
"750","朝霞市","魚すくい網","水槽用","","","◎","","","","","","","","",""
"751","朝霞市","魚焼き器(フィッシュロースター)","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"752","朝霞市","左官ごて","","","","◎","","","","","","","○","仕事で使用したものは不可","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"753","朝霞市","作業台","","","","","","","","","","","◎","",""
"754","朝霞市","作業服(作業着)","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"755","朝霞市","柵(ラティスフェンス)","園芸用","木製","","","","","","◎","","","","","解体して50cm未満に切れば可燃ごみ。"
"756","朝霞市","柵(外構フェンス)","","","","","","","","","","","◎","",""
"757","朝霞市","酒燗器(さけかんき)","","","","◎","","","","","☆","","","",""
"758","朝霞市","酒パック","","","","","","","◎","","","","","","内側がアルミ箔加工されているものも可。"
"759","朝霞市","指金(さしがね)","","","","◎","","","","","","","○","仕事で使用したものは不可",""
"760","朝霞市","座敷ほうき","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"761","朝霞市","サスペンダー(吊りベルト)","","","","◎","","","","","","","","",""
"762","朝霞市","座卓","","","","","","","","◎","","","","",""
"763","朝霞市","サッカーシューズ","","","◎","○","","","","","","","","","金具が取り外せないものは不燃ごみ。"
"764","朝霞市","サッカーボール","","","◎","","","","","","","","","","中の空気を抜いてください。"
"765","朝霞市","雑誌","","","","","","","◎","","","","","",""
"766","朝霞市","サッシ","","","","","","","","","","","◎","",""
"767","朝霞市","サッシブラシ","","","","◎","","","","","","","","",""
"768","朝霞市","殺虫剤","スプレー缶","","","","◎","","","","","○","","","事故の原因となるため、必ず中身を使い切り、他の有害ごみと分けて出してください。どうしても中身を使い切れない場合はクリーンセンターへ直接お持ちください。"
"769","朝霞市","サドル","自転車用","","","◎","","","","","","","","",""
"770","朝霞市","サニタリーボックス","","","","◎","","","","","","","","",""
"771","朝霞市","座布団","","","◎","","","","","○","","","","","50cm以上のものは粗大ごみ。可燃ごみとして1度に出せるのは2枚まで。"
"772","朝霞市","サポーター","スポーツ用、治療用","","◎","","","","","","","","","",""
"773","朝霞市","サボテン","","","◎","","","","","○","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。50cm以上のものは粗大ごみ。"
"774","朝霞市","サマーベッド(チューブベッド)","","","","","","","","◎","","","","",""
"775","朝霞市","作務衣(さむえ)","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"776","朝霞市","皿","","紙製","◎","","","","","","","","","",""
"777","朝霞市","皿","","木製、プラスチック製、金属製、陶磁器製、ガラス製","","◎","","","","","","","","",""
"778","朝霞市","さらし","","","◎","","","","","","","","","","50cm未満に切ってください。"
"779","朝霞市","サラダ油","","","◎","","","","","","","","○","液体のままのものは不可。","固めるか古紙、古布などに染み込ませてください。"
"780","朝霞市","サラダボウル","","","","◎","","","","","","","","",""
"781","朝霞市","ざる","","竹製","◎","","","","","","","","","","50cm以上のものは粗大ごみ。"
"782","朝霞市","ざる","","プラスチック製、金属製","","◎","","","","","","","","","50cm以上のものは粗大ごみ。"
"783","朝霞市","三角コーナー","","","","◎","","","","","","","","",""
"784","朝霞市","三角コーン(カラーコーン、パイロン)","","","","○","","","","◎","","","○","仕事で使用したものは不可","50cm未満のものは不燃ごみ。"
"785","朝霞市","三角スケール","","","","◎","","","","","","","","",""
"786","朝霞市","三脚","カメラ撮影用、望遠鏡用等","","","◎","","","","○","","","","","縮めても50cm以上のものは粗大ごみ。"
"787","朝霞市","サングラス","","","","◎","","","","","","","","",""
"788","朝霞市","サンシェード(日除け)","自動車用、家庭ベランダ用","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"789","朝霞市","酸素ボンベ","スプレー缶","","","","◎","","","","","○","○","仕事で使用したものは不可
ボンベ式は不可","事故の原因となるため、必ず中身を使い切り、他の有害ごみと分けて出してください。どうしても中身を使い切れない場合はクリーンセンターへ直接お持ちください。"
"790","朝霞市","サンダル","","","◎","","","","","","","","","",""
"791","朝霞市","サンドペーパー(紙やすり)","","","◎","","","","","","","","","",""
"792","朝霞市","サンバイザー","","","◎","","","","","","","","","",""
"793","朝霞市","三面鏡","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"794","朝霞市","三輪車","子供用","","","","","","","◎","","","","",""
"795","朝霞市","CD","","","","◎","","","","","","","","",""
"796","朝霞市","CD-R","","","","◎","","","","","","","","",""
"797","朝霞市","CDケース","","","","◎","","","","","","","","","ジャケットなどの紙部分は資源(雑誌、雑紙)。"
"798","朝霞市","CDプレイヤー","携帯型","","","◎","○","","","","☆","","","充電池内蔵式は有害ごみ","電池は取り外してください。"
"799","朝霞市","CDプレイヤー","据置型","","","◎","","","","○","","","","","電池は取り外してください。50cm以上のものは粗大ごみ。"
"800","朝霞市","CDラック(CDタワー)","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"801","朝霞市","CRTディスプレイ","パソコン用","","","","","","","","","","◎","","資源有効利用促進法指定品目。一般社団法人パソコン3R推進協会(℡03-5282-7685)に問い合わせてください。"
"802","朝霞市","飼育ケース","昆虫用","プラスチック製","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"803","朝霞市","シーツ","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"804","朝霞市","シートカバー","自動車用","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"805","朝霞市","シート類","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"806","朝霞市","シーリングファン","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"807","朝霞市","シーリングライト","照明器具","","","○","","","","◎","","","","","蛍光管を取り外してください。"
"808","朝霞市","シール","","","◎","","","","","","","","","",""
"809","朝霞市","ジーンズ(ジーパン)","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"810","朝霞市","シェーカー","","金属製","","◎","","","","","","","","",""
"811","朝霞市","シェーバー(電気シェーバー)","電気式、充電式、電池式","","","◎","○","","","","☆","","","充電池内蔵式は有害ごみ","電池式は電池を取り外してください。"
"812","朝霞市","シェーバー自動洗浄機","充電式","","","◎","○","","","","☆","","","充電池内蔵式は有害ごみ","洗浄液は除去してください。"
"813","朝霞市","シェービングブラシ","","","","◎","","","","","","","","",""
"814","朝霞市","ジェットヒーター","","","","","","","","","","","◎","",""
"815","朝霞市","ジェルマット","寝具","","","","","","","◎","","","","",""
"816","朝霞市","地下足袋","","","◎","","","","","","","","","",""
"817","朝霞市","歯間ブラシ","","","◎","","","","","","","","","",""
"818","朝霞市","色紙","","","◎","","","","","","","","","",""
"819","朝霞市","敷きパッド(ベッドパッド)","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"820","朝霞市","敷き布団","","","","","","","","◎","","","","",""
"821","朝霞市","磁気マットレス","","","","","","","","◎","","","","",""
"822","朝霞市","ジグソーパズル","","","◎","","","","","","","","","",""
"823","朝霞市","指示棒","文房具","","","◎","","","","","","","","",""
"824","朝霞市","磁石(マグネット)","","","","◎","","","","","","","","",""
"825","朝霞市","辞書、辞典","","","","","","","◎","","","","","",""
"826","朝霞市","システムソファー","","","","","","","","◎","","","","",""
"827","朝霞市","システム畳(置き畳)","","","","","","","","◎","","","","通常の畳やそれに準ずるものは不可。",""
"828","朝霞市","システム手帳","","","◎","○","","","○","","","","","","金具が取り外せないものは不燃ごみ。内側の紙部分は資源(雑誌、雑紙)。"
"829","朝霞市","下着(肌着)","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"830","朝霞市","下敷き","","プラスチック製","","◎","","","","","","","","",""
"831","朝霞市","七輪(しちりん)","","","","◎","","","","","","","","",""
"832","朝霞市","漆器","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"833","朝霞市","湿度計","針表示式","","","◎","","","","","","","","",""
"834","朝霞市","湿度計","デジタル式","","","◎","","","","","☆","","","",""
"835","朝霞市","室内物干しスタンド","","","","","","","","◎","","","","",""
"836","朝霞市","湿布薬","","","◎","","","","","","","","","",""
"837","朝霞市","湿布薬のフィルム","","","","","","◎","","","","","","",""
"838","朝霞市","自転車","","","","","","","","◎","","","○","原動機付き自転車は不可。","電動アシスト自転車のバッテリーは、取り外して販売店、回収協力店などの回収ボックスをご利用ください。"
"839","朝霞市","自転車用かごカバー","防犯用","","◎","","","","","","","","","","50cm未満に切ってください。"
"840","朝霞市","自転車用ネット","防犯用","","","◎","","","","","","","","",""
"841","朝霞市","自転車用補助いす","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"842","朝霞市","自転車ホイール用リム(スポーク)","","","","◎","","","","","","","","",""
"843","朝霞市","自動車模型","玩具","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"844","朝霞市","自動車部品","タイヤ、バッテリー、バンパー、ホイール、ホイールキャップ、マフラー、ワイパー、各種エレメント、その他アクセサリーを除く部品全般","","","","","","","","","","◎","",""
"845","朝霞市","自動パン焼き器(ホームベーカリー)","","","","◎","","","","","","","","",""
"846","朝霞市","竹刀","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"847","朝霞市","芝刈機","手動式、電動式","","","○","","","","◎","","","○","仕事で使用したものは不可","50cm未満のものは不燃ごみ。"
"848","朝霞市","芝刈機","エンジン式","","","","","","","","","","◎","",""
"849","朝霞市","注連飾り(しめかざり)","家庭用","","◎","","","","","○","","","","","50cm以上のものは粗大ごみ。"
"850","朝霞市","ジャージ","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"851","朝霞市","シャープナー(包丁研ぎ器)","手動式","","","◎","","","","","","","","",""
"852","朝霞市","シャープナー(包丁研ぎ器)","電動式","","","◎","","","","","☆","","","","電池を取り外してください。"
"853","朝霞市","シャープペンシル","","","","◎","","","","","","","","",""
"854","朝霞市","シャープペンシルの芯(替芯)","","","◎","","","","","","","","","",""
"855","朝霞市","ジャグタンク(飲料水用タンク)","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"856","朝霞市","蛇口","","","","◎","","","","","","","","",""
"857","朝霞市","試薬の容器","","","","","","","","","","","◎","","購入先、メーカーなどへ問い合わせてください。"
"858","朝霞市","尺八","楽器","","○","","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"859","朝霞市","遮光カーテン","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"860","朝霞市","遮光シート","","","◎","","","","","","","","","","50cm未満に切ってください。"
"861","朝霞市","写真","","","◎","","","","","","","","","",""
"862","朝霞市","写真立て(フォトフレーム)","","紙製、木製","◎","○","","","","","","","","","表面カバー(ガラス製、アクリル製等)は取り外して不燃ごみ。表面カバーが取り外せないものは不燃ごみ。"
"863","朝霞市","写真立て(フォトフレーム)","","金属製、陶磁器製、ガラス製","","◎","","","","","","","","",""
"864","朝霞市","写真立て(フォトフレーム)","デジタル式","","","◎","○","","","","☆","","","充電池内蔵式は有害ごみ",""
"865","朝霞市","シャツ","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"866","朝霞市","ジャッキ","車載ジャッキ(ねじ式ジャッキ、パンタグラフジャッキ)","","","◎","","","","","","","○","油圧式(シザーズジャッキ、フロアジャッキ、ボトルジャッキ等)、その他車載ジャッキ以外のものは不可。",""
"867","朝霞市","シャッター","","","","","","","","","","","◎","",""
"868","朝霞市","ショベル(スコップ)","角先スコップ、剣先スコップ、除雪用スコップ等","","","","","","","◎","","","○","仕事で使用したものは不可",""
"869","朝霞市","ショベル(スコップ)","園芸用等","","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"870","朝霞市","しゃもじ","","木製","◎","","","","","","","","","",""
"871","朝霞市","しゃもじ","","プラスチック製","","◎","","","","","","","","",""
"872","朝霞市","しゃもじ立て","","","","◎","","","","","","","","",""
"873","朝霞市","砂利","","","","","","","","","","","◎","",""
"874","朝霞市","シャワーカーテン","","ビニール製","◎","","","","","○","","","","","50cm未満に切ってください。金具は取り除き不燃ごみ。50cm未満に切れない場合は粗大ごみ。"
"875","朝霞市","シャワーキャップ","","","◎","","","","","","","","","",""
"876","朝霞市","シャワーヘッド","","","","◎","","","","","","","","",""
"877","朝霞市","ジャングルジム","子供用","","","○","","","","◎","","","","","50cm未満の部品は不燃ごみ。"
"878","朝霞市","シャンデリア","","","","○","","","","◎","","","○","鋳鉄製は不可。","蛍光管、電球を取り外してください。50cm未満のものは不燃ごみ。"
"879","朝霞市","ジャンパー","","","○","","","","◎","○","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。50cm未満に切れないものは粗大ごみ。"
"880","朝霞市","シャンプーの容器","ポンプ部分を含む","プラスチック製","","","","◎","","","","","","","容器の中を洗ってください。"
"881","朝霞市","シャンプーハット","","","","◎","","","","","","","","",""
"882","朝霞市","週刊誌","","","","","","","◎","","","","","",""
"883","朝霞市","祝儀、不祝儀袋(金封、多当)","","","◎","","","","","","","","","",""
"884","朝霞市","シューキーパー","","","","◎","","","","","","","","",""
"885","朝霞市","ジューサー(ミキサー)","調理器具","","","◎","","","","","","","","",""
"886","朝霞市","シューズケース","ソフトケース","","◎","○","","","","","","","","","金具が取り外せないものは不燃ごみ。"
"887","朝霞市","シューズケース","ハードケース","","","◎","","","","","","","","",""
"888","朝霞市","シューズドライヤー(靴乾燥機)","電気式、電池式","","","○","","","","◎","","","","","電池式は電池を取り外してください。50cm未満のものは不燃ごみ。"
"889","朝霞市","シューズラック","","","","○","","","","◎","","","○","作り付けのものは不可。","50cm未満のものは不燃ごみ。"
"890","朝霞市","修正液の容器","","プラスチック製","○","","","◎","","","","","","","修正ペンは不燃ごみ。容器の中を洗ってください。汚れが落ちないものは可燃ごみ。"
"891","朝霞市","修正テープ","","","","◎","","","","","","","","",""
"892","朝霞市","修正ペン","","","","◎","","","","","","","","","中身は使い切ってください。"
"893","朝霞市","住宅用火災警報器","","","","◎","","","","","","","","","電池は取り外してください。"
"894","朝霞市","住宅用ガス警報器","","","","◎","","","","","","","","","電池は取り外してください。"
"895","朝霞市","じゅうたん(カーペット)","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"896","朝霞市","充電器","小型電子機器等用","","","◎","○","","","","☆","","","充電池内蔵式は有害ごみ",""
"897","朝霞市","充電式電池","充電式電池単体または機器から取り外したもの","","","","〇","","","","","","◎","充電池内蔵式の機器は有害ごみです","販売店、リサイクル協力店等のボックス回収等をご利用ください。回収協力店が近くにない場合は、有害ごみ。"
"898","朝霞市","柔道着","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"899","朝霞市","収納ケース","","木製、プラスチック製","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"900","朝霞市","収納ケース","","紙製","○","","","","","◎","","","","","50cm未満のものは可燃ごみ。"
"901","朝霞市","収納ベッド(チェストベッド)","","","","","","","","◎","","","○","ガス圧跳ね上げ式は不可。",""
"902","朝霞市","収納庫","100cm×90cm×90cm未満","","","","","","","◎","","","○","100cm×90cm×90cm以上のものは不可。",""
"903","朝霞市","重箱","","木製","","◎","","","","","","","","",""
"904","朝霞市","重箱","","プラスチック製","","◎","","","","","","","","",""
"905","朝霞市","ジュエリーケース(宝石ケース)","","","","◎","","","","","","","","",""
"906","朝霞市","樹脂含浸紙","","","◎","","","","","","","","","",""
"907","朝霞市","数珠(じゅず)","","木製","◎","","","","","","","","","",""
"908","朝霞市","数珠(じゅず)","","プラスチック製、ガラス製","","◎","","","","","","","","",""
"909","朝霞市","ジュニアシート","自動車用","","","","","","","◎","","","","",""
"910","朝霞市","朱肉(スポンジ朱肉)","","","","◎","","","","","","","","",""
"911","朝霞市","種苗育成ポット(ビニールポット)","","","","","","◎","","","","","","","容器を洗い、泥等を落としてください。"
"912","朝霞市","シュラフ(寝袋)","","","","","","","","◎","","","","",""
"913","朝霞市","ジュラルミンケース","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"914","朝霞市","シュレッダー","","","","◎","","","","○","","","○","仕事で使用したものは不可","電池式は電池を取り外してください。50cm以上のものは粗大ごみ。"
"915","朝霞市","シュレッダー裁断くず","","","◎","","","","","","","","","",""
"916","朝霞市","ジョイントマット(パズルマット)","","スポンジ製、コルク製等","◎","","","","","○","","","","","50cm以上のものは粗大ごみ。"
"917","朝霞市","錠","南京錠等","","","◎","","","","","","","","",""
